NUTS3 geographical region,Region,Total claimants (a),Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
Central Hampshire,South_East,"1,521",363,141,290,133,13,12,11,135,198,74,47,214,26,101,19,323,"1,468",374,874,"1,232"
North Hampshire,South_East,415,136,51,86,57,18,12,#,35,81,39,8,104,#,47,12,133,389,151,303,354
Medway,South_East,58,23,#,10,#,#,#,#,7,#,7,0,#,0,19,0,24,52,16,28,52
Kent Thames Gateway,South_East,261,101,13,33,9,6,#,#,44,35,30,12,30,#,80,#,82,235,76,137,221
East Kent,South_East,504,224,52,65,55,14,46,#,85,59,99,25,74,13,86,#,158,468,187,279,455
Mid Kent,South_East,719,175,47,53,44,7,#,5,53,62,75,21,58,10,137,#,136,678,202,456,643
West Kent,South_East,617,121,36,43,34,5,0,#,40,56,44,13,72,9,137,#,121,582,153,438,556
"Bristol, City of",South_West,26,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,25,#,12,20
"Bath and North East Somerset, North Somerset and South Gloucestershire",South_West,"1,315",198,84,146,50,#,10,#,19,68,39,10,164,#,101,5,86,"1,286",358,689,"1,166"
Gloucestershire,South_West,"2,252",626,237,341,106,39,45,46,137,355,144,32,327,51,226,6,416,"2,178",786,"1,386","1,982"
Swindon,South_West,134,40,#,34,8,#,0,0,#,22,#,0,19,#,#,0,34,124,52,84,117
Wiltshire,South_West,"2,295",643,287,484,180,47,10,19,194,328,153,55,405,69,127,16,453,"2,211",724,"1,292","1,812"
Bournemouth and Poole,South_West,14,#,0,0,#,0,0,0,0,#,0,0,#,0,0,0,#,14,#,6,13
Dorset CC,South_West,"1,899",391,172,266,92,53,#,#,71,213,53,43,364,34,143,21,218,"1,864",654,"1,239","1,737"
Somerset,South_West,"4,030",672,245,290,117,61,86,48,86,317,130,23,706,49,487,11,264,"3,951","1,251","2,080","3,535"
Cornwall and Isles of Scilly,South_West,"3,832",334,442,854,174,31,239,117,41,349,30,5,375,62,477,157,302,"3,782","1,612","2,530","3,540"
Plymouth,South_West,23,#,0,#,#,0,0,0,0,#,0,0,#,0,#,0,#,19,#,14,18
Torbay,South_West,36,6,#,#,6,0,#,#,#,#,#,0,#,0,5,0,#,33,13,17,26
Devon CC,South_West,"7,858",844,628,"1,033",451,92,80,139,148,634,77,13,986,67,723,15,332,"7,781","2,591","5,589","7,093"
