Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
South_East,Oxfordshire,"1,529",581,282,380,123,40,NA,NA,159,281,214,71,175,62,107,21,484,"1,458",589,"1,072","1,360"
South_East,Brighton and Hove,17,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,15,6,8,14
South_East,East Sussex CC,"1,360",197,55,125,79,8,8,NA,49,125,52,16,104,10,135,NA,170,"1,327",305,990,"1,255"
South_East,West Surrey,379,33,10,11,15,5,NA,5,5,27,9,NA,32,11,29,NA,42,371,80,241,326
South_East,East Surrey,371,72,40,18,17,6,0,NA,14,33,12,NA,56,5,19,NA,56,365,99,276,325
South_East,West Sussex (South West),512,182,45,86,63,8,23,8,43,94,44,25,112,22,71,9,174,488,192,369,465
South_East,West Sussex (North East),689,106,29,42,36,6,NA,NA,14,79,27,NA,70,9,65,7,114,671,182,477,617
South_East,Portsmouth,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA
South_East,Southampton,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
South_East,Isle of Wight,264,58,19,24,9,24,5,NA,13,38,5,0,64,NA,23,NA,54,258,94,176,237
South_East,South Hampshire,109,21,NA,9,NA,0,NA,0,NA,NA,7,NA,18,NA,8,NA,23,101,15,57,84
South_East,Central Hampshire,"1,521",363,141,290,133,13,12,11,135,198,74,47,214,26,101,19,323,"1,468",374,874,"1,232"
South_East,North Hampshire,415,136,51,86,57,18,12,NA,35,81,39,8,104,NA,47,12,133,389,151,303,354
South_East,Medway,58,23,NA,10,NA,NA,NA,NA,7,NA,7,0,NA,0,19,0,24,52,16,28,52
South_East,Kent Thames Gateway,261,101,13,33,9,6,NA,NA,44,35,30,12,30,NA,80,NA,82,235,76,137,221
South_East,East Kent,504,224,52,65,55,14,46,NA,85,59,99,25,74,13,86,NA,158,468,187,279,455
