Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
London,Brent,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
London,Ealing,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
London,Harrow and Hillingdon,"1,414",NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,978,NA,62,79
London,Hounslow and Richmond upon Thames,285,NA,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,140,NA,NA,45
South_East,Berkshire,"68,193","12,640","2,197","4,780","2,015",608,NA,NA,"2,425","1,558","1,791",614,"1,620",658,731,169,"1,892","18,362","4,400","10,380","1,242"
South_East,Milton Keynes,"17,583","6,286",579,909,788,NA,0,0,790,140,931,NA,328,NA,NA,NA,221,"3,890",849,"1,209",361
South_East,Buckinghamshire CC,"100,483","21,495","3,203","4,986","3,001",267,NA,NA,"1,464","1,741","2,076",63,"2,030",408,294,8,"2,143","38,935","8,107","8,034","2,120"
South_East,Oxfordshire,"192,741","45,107","11,604","15,108","4,113","1,318",NA,NA,"6,981","4,425","8,935","2,405","3,911",901,638,407,"5,749","50,163","14,473","12,642","3,621"
South_East,Brighton and Hove,"3,228",NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,"1,869",64,193,92
South_East,East Sussex CC,"101,386","9,811","1,284","3,431","1,299",61,6,NA,"1,721","1,055","1,170",515,"2,096",100,980,NA,"1,249","55,684","6,601","11,979","2,328"
South_East,West Surrey,"29,034","1,728",197,152,384,176,NA,57,304,369,243,NA,565,139,394,NA,430,"15,433","1,845","5,689",853
South_East,East Surrey,"29,004","3,515",949,459,301,42,0,NA,595,263,349,NA,"1,331",36,161,NA,492,"14,335","1,916","3,596",546
South_East,West Sussex (South West),"67,927","11,471","1,431","3,334","1,842",170,547,75,"1,190","1,240","1,134",685,"3,423",486,"2,201",13,"1,658","20,106","4,885","10,016","2,019"
South_East,West Sussex (North East),"47,780","4,185",748,828,774,112,NA,NA,396,513,724,NA,"1,538",98,633,14,889,"24,852","4,160","6,067","1,193"
South_East,Portsmouth,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA
South_East,Southampton,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA
South_East,Isle of Wight,"23,573","2,697",318,455,159,706,121,NA,432,300,102,0,"2,029",NA,305,NA,419,"11,026","2,067","1,698",703
South_East,South Hampshire,"5,156",644,NA,150,NA,0,NA,0,NA,NA,127,NA,438,NA,104,NA,225,"2,138",137,484,397
South_East,Central Hampshire,"165,071","27,034","5,995","15,841","6,098",430,274,89,"6,745","3,443","2,890","2,030","4,137",306,"1,114",340,"3,479","56,121","9,003","16,046","3,656"
South_East,North Hampshire,"57,185","11,823","2,168","4,805","3,065",946,434,NA,"1,888","1,534","1,305",275,"1,994",NA,709,317,"1,698","11,911","4,117","7,309",716
South_East,Medway,"10,135","1,802",NA,388,NA,NA,NA,NA,168,NA,241,0,NA,0,834,0,366,"3,592",239,706,"1,494"
South_East,Kent Thames Gateway,"32,168","8,674",288,"1,029",192,299,NA,NA,"2,325",318,972,333,623,NA,"3,759",NA,759,"8,382",945,"2,184",919
South_East,East Kent,"73,612","22,046","1,821","2,014","1,698",562,"1,060",NA,"4,307",616,"3,817",964,"2,978",184,"3,133",NA,"2,345","14,196","4,219","4,287","3,343"
South_East,Mid Kent,"61,963","15,890","1,426","1,877","1,378",136,NA,64,"2,438",687,"2,987",984,"1,282",169,"3,307",NA,"1,122","18,331","3,992","4,937",932
South_East,West Kent,"48,612","8,522","1,196",863,853,169,0,NA,"1,406",582,"1,336",275,"1,567",105,"3,389",NA,"1,163","16,252","3,241","6,779",834
South_West,"Bristol, City of","1,063",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,432,NA,308,316
South_West,"Bath and North East Somerset, North Somerset and South Gloucestershire","73,502","6,347","1,697","2,584",900,NA,30,NA,473,589,951,222,"3,126",NA,442,3,440,"43,637","6,903","3,181","1,634"
South_West,Gloucestershire,"189,970","31,056","6,808","10,560","3,217",843,565,404,"5,484","5,241","3,625",758,"6,325",782,"1,604",20,"4,600","71,079","19,141","14,829","3,030"
South_West,Swindon,"13,457","2,577",NA,"1,539",293,NA,0,0,NA,258,NA,0,329,NA,NA,0,411,"3,989","1,607",768,268
South_West,Wiltshire,"256,041","41,914","10,821","21,087","6,190","1,721",32,180,"9,402","4,033","4,853","1,980","10,074","1,638",831,292,"3,944","97,153","19,118","16,517","4,260"
South_West,Bournemouth and Poole,"1,477",NA,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,NA,953,NA,239,227
South_West,Dorset CC,"197,847","21,453","5,773","9,324","3,627","1,488",NA,NA,"2,900","2,559","1,818","1,429","11,234","1,951",743,410,"1,817","89,952","20,247","15,240","5,822"
South_West,Somerset,"268,207","22,801","4,591","4,289","1,892","1,271","1,103",371,"1,956","2,283","2,205",397,"15,239",942,"2,821",61,878,"158,934","28,029","12,858","5,286"
South_West,Cornwall and Isles of Scilly,"259,028","7,538","7,156","13,717","2,411",376,"3,316",766,696,"2,362",308,16,"7,502",547,"6,078","3,061","1,584","150,680","31,749","11,430","7,735"
South_West,Plymouth,831,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,508,NA,188,18
South_West,Torbay,"1,761",91,NA,NA,22,0,NA,NA,NA,NA,NA,0,NA,0,15,0,NA,886,123,298,98
South_West,Devon CC,"515,464","18,261","8,736","12,697","5,826","1,319",633,793,"2,730","3,275",783,212,"15,545",724,"2,556",23,"1,224","348,369","50,181","32,071","9,507"
