NUTS3 geographical region,Region,Total area on agricultural holdings,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
"Bath and North East Somerset, North Somerset and South Gloucestershire",South_West,"73,502","6,347","1,697","2,584",900,#,30,#,473,589,951,222,"3,126",#,442,3,440,"43,637","6,903","3,181","1,634"
Gloucestershire,South_West,"189,970","31,056","6,808","10,560","3,217",843,565,404,"5,484","5,241","3,625",758,"6,325",782,"1,604",20,"4,600","71,079","19,141","14,829","3,030"
Swindon,South_West,"13,457","2,577",#,"1,539",293,#,0,0,#,258,#,0,329,#,#,0,411,"3,989","1,607",768,268
Wiltshire,South_West,"256,041","41,914","10,821","21,087","6,190","1,721",32,180,"9,402","4,033","4,853","1,980","10,074","1,638",831,292,"3,944","97,153","19,118","16,517","4,260"
Bournemouth and Poole,South_West,"1,477",#,0,0,#,0,0,0,0,#,0,0,#,0,0,0,#,953,#,239,227
Dorset CC,South_West,"197,847","21,453","5,773","9,324","3,627","1,488",#,#,"2,900","2,559","1,818","1,429","11,234","1,951",743,410,"1,817","89,952","20,247","15,240","5,822"
Somerset,South_West,"268,207","22,801","4,591","4,289","1,892","1,271","1,103",371,"1,956","2,283","2,205",397,"15,239",942,"2,821",61,878,"158,934","28,029","12,858","5,286"
Cornwall and Isles of Scilly,South_West,"259,028","7,538","7,156","13,717","2,411",376,"3,316",766,696,"2,362",308,16,"7,502",547,"6,078","3,061","1,584","150,680","31,749","11,430","7,735"
Plymouth,South_West,831,#,0,#,#,0,0,0,0,#,0,0,#,0,#,0,#,508,#,188,18
Torbay,South_West,"1,761",91,#,#,22,0,#,#,#,#,#,0,#,0,15,0,#,886,123,298,98
Devon CC,South_West,"515,464","18,261","8,736","12,697","5,826","1,319",633,793,"2,730","3,275",783,212,"15,545",724,"2,556",23,"1,224","348,369","50,181","32,071","9,507"
